name	faculty
Byron Shire	4
Suva	4
Lautoka	4
Adelaide	4
Dunedin	4
Palmerston North	4
Unley	4
Moreland	4
Sydney	4
Nadi	4
Perth	4
Darebin	4
Hobsons Bay	4
Mount Barker	4
Scenic Rim	4
Port Vila	4
Auckland	4
Penrith	4
Liverpool	4
Yarra	4
Honiara	4
Peninsula	4
Melbourne	4
Mandurah	4
Manningham	4
Port Phillip	4
Ballarat	4
Christchurch	4
Joondalup	4
Brisbane	4
Mackay	4
East Gippsland Shire	4
Newcastle	4
Greater Bendigo	4
New York	5
Bangkok	5
Can Tho City	5
Chennai	5
Da nang	5
Deyang	5
Huangshi	5
Jaipur	5
Jakarta	5
Kyoto	5
Mandalay	5
Malacca	5
Pune	5
Semarang	5
Seoul	5
Singapore	5
Surat	5
Toyama	5
Christchurch	5
Melbourne	5
Sydney	5
Wellington	5
Jiaxing	5
Wuxi	5
Beijing	6
Chengdu	6
Fuzhou	6
Guangzhou	6
Hangzhou	6
Hong Kong	6
Nanjing	6
Qingdao	6
Shanghai	6
Shenzhen	6
Wuhan	6
Zhenjiang	6
Auckland	6
Bangkok	6
Hanoi	6
Ho Chi Minh City	6
Jakarta	6
Kuala Lumpur	6
Melbourne	6
Quezon City	6
Seoul	6
Singapore	6
Sydney	6
Tokyo	6
Yokohama	6
Amman	6
Bangalore	6
Chennai	6
Delhi	6
Dhaka	6
Dubai	6
Karachi	6
Kolkata	6
Brussels	7
Dhaka	7
Singra	7
Barisal	7
Madaripur	7
Thimphu	7
Patna	7
Rajkot	7
Gwalior	7
Shimla	7
Panaji	7
Surat	7
Gangtok	7
Matale	7
Kathmandu	7
Karachi	7
Nagpur	7
Yerevan	7
Gyumri	7
Vanadzor	7
Ejmiatsin	7
Kapan	7
Hrazdan	7
Ashtarak	7
Goris	7
Artik	7
Spitak	7
Dilijan	7
Alaverdi	7
Parakar	7
Tashir	7
Aparan	7
Vayk	7
Tsakhkadzor	7
Akhtala	7
Gavar	7
Ijevan	7
Kasagh	7
Masis	7
Sisian	7
Icherisheher	7
Mingachevir	7
Tbilisi	7
Kutaisi	7
Batumi	7
Rustavi	7
Bolnisi	7
Telavi	7
Gori	7
Akhaltsikhe	7
Tianeti	7
Mtskheta	7
Kazbegi	7
Akhmeta	7
Chokhatauri 	7
Dedoplistskaro	7
Gurjaani	7
Kvareli	7
Lanchkhuti	7
Ozurgeti	7
Poti	7
Zugdidi	7
Karaganda	7
Taraz	7
Temirtau	7
Zhezkazgan	7
Aksu	7
Astana	7
Lisakovsk	7
Satpayev	7
Petropavlovsk	7
Kerben	7
Shopokov	7
Orlovka	7
Osh	7
Talas	7
Somoniyon	7
Canberra	7
Hobart	7
Wollongong	7
Sydney	7
Penrith	7
Joondalup	7
Mornington Peninsula Shire	7
Glen Eira	7
Moreland	7
Melbourne	7
Manningham	7
Melville	7
Tweed Shire	7
Port Phillip	7
Yarra	7
Hobsons Bay	7
Maribyrnong	7
Mandurah	7
Byron Shire	7
Adelaide	7
Perth	7
Melton	7
Darebin	7
Wyndham	7
Newcastle	7
Nadi	7
Auckland	7
Wellington	7
Dunedin	7
Christchurch	7
Rotorua	7
New Plymouth	7
Honiara	7
Port Vila	7
Mount Barker	7
Jakarta	7
Surabaya	7
Bandung	7
Padang	7
Bogor	7
Malang	7
Banjarmasin	7
Jambi	7
Balikpapan	7
Mataram	7
Kupang	7
Sukabumi	7
Kendari	7
Banda Aceh	7
Probolinggo	7
Tarakan	7
Tanjungpinang	7
Bontang	7
Seberang Perai	7
Iskandar Region	7
Putrajaya	7
Tawau	7
Kuala Lumpur	7
Johor Bahru	7
Quezon City	7
Cebu	7
Pasig City	7
Cagayan De Oro	7
Paranaque	7
Makati City	7
Muntinlupa City	7
Tacloban	7
Puerto Princesa	7
Talisay	7
Legazpi	7
Calbayog	7
Naga	7
Tuguegarao	7
San Carlos	7
Cauayan	7
Dipolog	7
Baybay	7
Tabuk	7
Catbalogan	7
Science of Munoz	7
Borongan	7
Angeles	7
Hatyai	7
Phuket	7
Chiang Rai	7
Nakhon Lampang	7
Sisaket	7
Thung song	7
Nongsamrong	7
Phichit	7
Yasothon	7
Phanatnikom	7
Khok kruat	7
Phanomsarakham	7
Hatsiao	7
Mapammarit	7
Can Tho City	7
San Jose Del Monte	7
Marikina City	7
Baguio City	7
Tarlac	7
Batangas	7
Santa Rosa	7
Khonkaen City	7
